종목명,종목코드,초기 자본,2025년 10월 15일 수요일 9:00,,,,,,,2025년 10월 16일 목요일 9:00,,,,,,,,2025년 10월 17일 금요일 9:00,,,,,,,,2025년 10월 20일 월요일 9:00,,,,,,,,2025년 10월 21일 화요일 9:00,,,,,,,,2025년 10월 22일 수요일 9:00,,,,,,,,2025년 10월 23일 목요일 9:00,,,,,,,,2025년 10월 24일 금요일 9:00,,,,,,,,2025년 10월 27일 월요일 9:00,,,,,,,,2025년 10월 28일 화요일 9:00,,,,,,,,2025년 10월 29일 수요일 9:00,,,,,,,,2025년 10월 30일 목요일 9:00,,,,,,,,2025년 10월 31일 금요일 9:00,,,,,,,,2025년 11월 1일 토요일 9:00,,,,,,,
,,"₩2,000,000",사유,거래,종가,보유 주식수,잔고,자산현황,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률
삼영전자,005680,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	10,780",185,"₩	5,700","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	10,950",185,"₩	5,700","₩	2,031,450","₩31,450",1.57%,보유,HOLD,"₩	10,840",185,"₩	5,700","₩	2,011,100","₩11,100",0.56%,보유,HOLD,"₩	10,840",185,"₩	5,700","₩	2,011,100","₩11,100",0.56%,보유,HOLD,"₩	10,830",185,"₩	5,700","₩	2,009,250","₩9,250",0.46%,보유,HOLD,"₩	10,800",185,"₩	5,700","₩	2,003,700","₩3,700",0.19%,보유,HOLD,"₩	10,830",185,"₩	5,700","₩	2,009,250","₩9,250",0.46%,보유,HOLD,"₩	10,810",185,"₩	5,700","₩	2,005,550","₩5,550",0.28%,보유,HOLD,"₩	10,800",185,"₩	5,700","₩	2,003,700","₩3,700",0.19%,보유,HOLD,"₩	10,800",185,"₩	5,700","₩	2,003,700","₩3,700",0.19%,보유,HOLD,"₩	10,700",185,"₩	5,700","₩	1,985,200","₩14,800",0.74%
TYM,002900,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	6,190",323,₩	630,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	6,250",323,₩	630,"₩	2,019,380","₩19,380",0.97%,보유,HOLD,"₩	6,400",323,₩	630,"₩	2,067,830","₩67,830",3.39%,보유,HOLD,"₩	6,100",323,₩	630,"₩	1,970,930","₩29,070",1.45%,보유,HOLD,"₩	6,170",323,₩	630,"₩	1,993,540","₩6,460",0.32%,보유,HOLD,"₩	6,120",323,₩	630,"₩	1,977,390","₩22,610",1.13%,보유,HOLD,"₩	6,150",323,₩	630,"₩	1,987,080","₩12,920",0.65%,보유,HOLD,"₩	6,190",323,₩	630,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	6,220",323,₩	630,"₩	2,009,690","₩9,690",0.48%,보유,HOLD,"₩	6,020",323,₩	630,"₩	1,945,090","₩54,910",2.75%,보유,HOLD,"₩	5,950",323,₩	630,"₩	1,922,480","₩77,520",3.88%
KCC,002380,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	395,500",5,"₩	22,500","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	396,000",5,"₩	22,500","₩	2,002,500","₩2,500",0.13%,보유,HOLD,"₩	391,500",5,"₩	22,500","₩	1,980,000","₩20,000",1.00%,보유,HOLD,"₩	417,500",5,"₩	22,500","₩	2,110,000","₩110,000",5.50%,보유,HOLD,"₩	413,500",5,"₩	22,500","₩	2,090,000","₩90,000",4.50%,보유,HOLD,"₩	417,500",5,"₩	22,500","₩	2,110,000","₩110,000",5.50%,보유,HOLD,"₩	439,500",5,"₩	22,500","₩	2,220,000","₩220,000",11.00%,보유,HOLD,"₩	434,500",5,"₩	22,500","₩	2,195,000","₩195,000",9.75%,보유,HOLD,"₩	453,000",5,"₩	22,500","₩	2,287,500","₩287,500",14.37%,보유,HOLD,"₩	444,000",5,"₩	22,500","₩	2,242,500","₩242,500",12.13%,보유,HOLD,"₩	439,500",5,"₩	22,500","₩	2,220,000","₩220,000",11.00%
화승알앤에이,378850,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	3,375",592,"₩	2,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,365",592,"₩	2,000","₩	1,994,080","₩5,920",0.30%,보유,HOLD,"₩	3,415",592,"₩	2,000","₩	2,023,680","₩23,680",1.18%,손절,SELL,"₩	3,315",592,"₩	2,000","₩	1,964,480","₩35,520",1.78%,-,-,"₩	3,290",0,"₩	1,964,480","₩	1,964,480","₩35,520",1.78%,-,-,"₩	3,275",0,"₩	1,964,480","₩	1,964,480","₩35,520",1.78%,-,-,"₩	3,235",0,"₩	1,964,480","₩	1,964,480","₩35,520",1.78%,-,-,"₩	3,235",0,"₩	1,964,480","₩	1,964,480","₩35,520",1.78%,-,-,"₩	3,180",0,"₩	1,964,480","₩	1,964,480","₩35,520",1.78%,-,-,"₩	3,190",0,"₩	1,964,480","₩	1,964,480","₩35,520",1.78%
명신산업,009900,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	9,540",209,"₩	6,140","₩	2,000,000",₩0,0.00%,손절,SELL,"₩	9,420",209,"₩	6,140","₩	1,974,920","₩25,080",1.25%,-,-,"₩	9,700",0,"₩	1,974,920","₩	1,974,920","₩25,080",1.25%,-,-,"₩	9,340",0,"₩	1,974,920","₩	1,974,920","₩25,080",1.25%,-,-,"₩	9,440",0,"₩	1,974,920","₩	1,974,920","₩25,080",1.25%,-,-,"₩	9,460",0,"₩	1,974,920","₩	1,974,920","₩25,080",1.25%,-,-,"₩	9,360",0,"₩	1,974,920","₩	1,974,920","₩25,080",1.25%,-,-,"₩	9,310",0,"₩	1,974,920","₩	1,974,920","₩25,080",1.25%,-,-,"₩	9,100",0,"₩	1,974,920","₩	1,974,920","₩25,080",1.25%,-,-,"₩	9,340",0,"₩	1,974,920","₩	1,974,920","₩25,080",1.25%
신송홀딩스,006880,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	7,030",284,"₩	3,480","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	6,930",284,"₩	3,480","₩	1,971,600","₩28,400",1.42%,보유,HOLD,"₩	7,050",284,"₩	3,480","₩	2,005,680","₩5,680",0.28%,보유,HOLD,"₩	7,050",284,"₩	3,480","₩	2,005,680","₩5,680",0.28%,보유,HOLD,"₩	6,990",284,"₩	3,480","₩	1,988,640","₩11,360",0.57%,보유,HOLD,"₩	6,970",284,"₩	3,480","₩	1,982,960","₩17,040",0.85%,보유,HOLD,"₩	7,000",284,"₩	3,480","₩	1,991,480","₩8,520",0.43%,보유,HOLD,"₩	6,900",284,"₩	3,480","₩	1,963,080","₩36,920",1.85%,보유,HOLD,"₩	6,790",284,"₩	3,480","₩	1,931,840","₩68,160",3.41%,보유,HOLD,"₩	6,740",284,"₩	3,480","₩	1,917,640","₩82,360",4.12%
현대로템,064350,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	211,000",9,"₩	101,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	211,500",9,"₩	101,000","₩	2,004,500","₩4,500",0.22%,보유,HOLD,"₩	234,500",9,"₩	101,000","₩	2,211,500","₩211,500",10.58%,보유,HOLD,"₩	241,500",9,"₩	101,000","₩	2,274,500","₩274,500",13.73%,보유,HOLD,"₩	234,500",9,"₩	101,000","₩	2,211,500","₩211,500",10.58%,보유,HOLD,"₩	234,000",9,"₩	101,000","₩	2,207,000","₩207,000",10.35%,보유,HOLD,"₩	238,000",9,"₩	101,000","₩	2,243,000","₩243,000",12.15%,보유,HOLD,"₩	230,500",9,"₩	101,000","₩	2,175,500","₩175,500",8.77%,보유,HOLD,"₩	231,500",9,"₩	101,000","₩	2,184,500","₩184,500",9.23%,보유,HOLD,"₩	230,500",9,"₩	101,000","₩	2,175,500","₩175,500",8.77%
진양홀딩스,100250,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	3,250",615,"₩	1,250","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,255",615,"₩	1,250","₩	2,003,075","₩3,075",0.15%,보유,HOLD,"₩	3,265",615,"₩	1,250","₩	2,009,225","₩9,225",0.46%,보유,HOLD,"₩	3,260",615,"₩	1,250","₩	2,006,150","₩6,150",0.31%,보유,HOLD,"₩	3,255",615,"₩	1,250","₩	2,003,075","₩3,075",0.15%,보유,HOLD,"₩	3,265",615,"₩	1,250","₩	2,009,225","₩9,225",0.46%,보유,HOLD,"₩	3,280",615,"₩	1,250","₩	2,018,450","₩18,450",0.92%,보유,HOLD,"₩	3,285",615,"₩	1,250","₩	2,021,525","₩21,525",1.08%,보유,HOLD,"₩	3,250",615,"₩	1,250","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,245",615,"₩	1,250","₩	1,996,925","₩3,075",0.15%
한세예스24홀딩스,016450,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	4,095",488,"₩	1,640","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	4,095",488,"₩	1,640","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	4,135",488,"₩	1,640","₩	2,019,520","₩19,520",0.98%,보유,HOLD,"₩	4,135",488,"₩	1,640","₩	2,019,520","₩19,520",0.98%,보유,HOLD,"₩	4,100",488,"₩	1,640","₩	2,002,440","₩2,440",0.12%,보유,HOLD,"₩	4,155",488,"₩	1,640","₩	2,029,280","₩29,280",1.46%,보유,HOLD,"₩	4,185",488,"₩	1,640","₩	2,043,920","₩43,920",2.20%,보유,HOLD,"₩	4,165",488,"₩	1,640","₩	2,034,160","₩34,160",1.71%,보유,HOLD,"₩	4,200",488,"₩	1,640","₩	2,051,240","₩51,240",2.56%,보유,HOLD,"₩	4,190",488,"₩	1,640","₩	2,046,360","₩46,360",2.32%
인지컨트롤스,023800,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	5,980",334,"₩	2,680","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	5,980",334,"₩	2,680","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	6,080",334,"₩	2,680","₩	2,033,400","₩33,400",1.67%,보유,HOLD,"₩	6,010",334,"₩	2,680","₩	2,010,020","₩10,020",0.50%,보유,HOLD,"₩	6,040",334,"₩	2,680","₩	2,020,040","₩20,040",1.00%,보유,HOLD,"₩	6,220",334,"₩	2,680","₩	2,080,160","₩80,160",4.01%,보유,HOLD,"₩	6,230",334,"₩	2,680","₩	2,083,500","₩83,500",4.18%,보유,HOLD,"₩	6,120",334,"₩	2,680","₩	2,046,760","₩46,760",2.34%,보유,HOLD,"₩	6,000",334,"₩	2,680","₩	2,006,680","₩6,680",0.33%,보유,HOLD,"₩	6,050",334,"₩	2,680","₩	2,023,380","₩23,380",1.17%
다올투자증권,030210,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	3,710",539,₩	310,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,650",539,₩	310,"₩	1,967,660","₩32,340",1.62%,보유,HOLD,"₩	3,640",539,₩	310,"₩	1,962,270","₩37,730",1.89%,보유,HOLD,"₩	3,550",539,₩	310,"₩	1,913,760","₩86,240",4.31%,보유,HOLD,"₩	3,585",539,₩	310,"₩	1,932,625","₩67,375",3.37%,보유,HOLD,"₩	3,775",539,₩	310,"₩	2,035,035","₩35,035",1.75%,보유,HOLD,"₩	3,715",539,₩	310,"₩	2,002,695","₩2,695",0.13%,보유,HOLD,"₩	3,690",539,₩	310,"₩	1,989,220","₩10,780",0.54%,보유,HOLD,"₩	3,610",539,₩	310,"₩	1,946,100","₩53,900",2.70%,보유,HOLD,"₩	3,615",539,₩	310,"₩	1,948,795","₩51,205",2.56%
태경비케이,014580,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	4,980",401,"₩	3,020","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	5,100",401,"₩	3,020","₩	2,048,120","₩48,120",2.41%,보유,HOLD,"₩	5,080",401,"₩	3,020","₩	2,040,100","₩40,100",2.01%,보유,HOLD,"₩	5,010",401,"₩	3,020","₩	2,012,030","₩12,030",0.60%,보유,HOLD,"₩	5,060",401,"₩	3,020","₩	2,032,080","₩32,080",1.60%,보유,HOLD,"₩	5,040",401,"₩	3,020","₩	2,024,060","₩24,060",1.20%,보유,HOLD,"₩	5,010",401,"₩	3,020","₩	2,012,030","₩12,030",0.60%,보유,HOLD,"₩	4,920",401,"₩	3,020","₩	1,975,940","₩24,060",1.20%,보유,HOLD,"₩	4,805",401,"₩	3,020","₩	1,929,825","₩70,175",3.51%,데드크로스,SELL,"₩	4,770",401,"₩	3,020","₩	1,915,790","₩84,210",4.21%
부산산업,011390,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	91,100",21,"₩	86,900","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	90,100",21,"₩	86,900","₩	1,979,000","₩21,000",1.05%,보유,HOLD,"₩	89,400",21,"₩	86,900","₩	1,964,300","₩35,700",1.79%,보유,HOLD,"₩	89,500",21,"₩	86,900","₩	1,966,400","₩33,600",1.68%,보유,HOLD,"₩	89,500",21,"₩	86,900","₩	1,966,400","₩33,600",1.68%,보유,HOLD,"₩	93,700",21,"₩	86,900","₩	2,054,600","₩54,600",2.73%,보유,HOLD,"₩	92,900",21,"₩	86,900","₩	2,037,800","₩37,800",1.89%,손절,SELL,"₩	84,100",21,"₩	86,900","₩	1,853,000","₩147,000",7.35%,-,-,"₩	79,400",0,"₩	1,853,000","₩	1,853,000","₩147,000",7.35%,-,-,"₩	75,800",0,"₩	1,853,000","₩	1,853,000","₩147,000",7.35%
영화금속,012280,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,₩	904,"2,212",₩	352,"₩	2,000,000",₩0,0.00%,보유,HOLD,₩	898,"2,212",₩	352,"₩	1,986,728","₩13,272",0.66%,보유,HOLD,₩	928,"2,212",₩	352,"₩	2,053,088","₩53,088",2.65%,보유,HOLD,₩	933,"2,212",₩	352,"₩	2,064,148","₩64,148",3.21%,보유,HOLD,₩	915,"2,212",₩	352,"₩	2,024,332","₩24,332",1.22%,보유,HOLD,₩	926,"2,212",₩	352,"₩	2,048,664","₩48,664",2.43%,보유,HOLD,₩	919,"2,212",₩	352,"₩	2,033,180","₩33,180",1.66%,보유,HOLD,₩	913,"2,212",₩	352,"₩	2,019,908","₩19,908",1.00%,보유,HOLD,₩	919,"2,212",₩	352,"₩	2,033,180","₩33,180",1.66%,보유,HOLD,₩	911,"2,212",₩	352,"₩	2,015,484","₩15,484",0.77%
무림P&P,009580,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	2,635",759,₩	35,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	2,615",759,₩	35,"₩	1,984,820","₩15,180",0.76%,보유,HOLD,"₩	2,620",759,₩	35,"₩	1,988,615","₩11,385",0.57%,보유,HOLD,"₩	2,620",759,₩	35,"₩	1,988,615","₩11,385",0.57%,보유,HOLD,"₩	2,615",759,₩	35,"₩	1,984,820","₩15,180",0.76%,보유,HOLD,"₩	2,625",759,₩	35,"₩	1,992,410","₩7,590",0.38%,보유,HOLD,"₩	2,595",759,₩	35,"₩	1,969,640","₩30,360",1.52%,데드크로스,SELL,"₩	2,575",759,₩	35,"₩	1,954,460","₩45,540",2.28%,-,-,"₩	2,555",0,"₩	1,954,460","₩	1,954,460","₩45,540",2.28%,-,-,"₩	2,555",0,"₩	1,954,460","₩	1,954,460","₩45,540",2.28%
POSCO홀딩스,005490,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	294,500",6,"₩	233,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	295,000",6,"₩	233,000","₩	2,003,000","₩3,000",0.15%,보유,HOLD,"₩	307,500",6,"₩	233,000","₩	2,078,000","₩78,000",3.90%,보유,HOLD,"₩	308,000",6,"₩	233,000","₩	2,081,000","₩81,000",4.05%,보유,HOLD,"₩	325,500",6,"₩	233,000","₩	2,186,000","₩186,000",9.30%,보유,HOLD,"₩	320,000",6,"₩	233,000","₩	2,153,000","₩153,000",7.65%,보유,HOLD,"₩	322,000",6,"₩	233,000","₩	2,165,000","₩165,000",8.25%,보유,HOLD,"₩	327,000",6,"₩	233,000","₩	2,195,000","₩195,000",9.75%,보유,HOLD,"₩	319,500",6,"₩	233,000","₩	2,150,000","₩150,000",7.50%,보유,HOLD,"₩	310,500",6,"₩	233,000","₩	2,096,000","₩96,000",4.80%
금호석유화학,011780,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	112,600",17,"₩	85,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	111,500",17,"₩	85,800","₩	1,981,300","₩18,700",0.94%,보유,HOLD,"₩	116,500",17,"₩	85,800","₩	2,066,300","₩66,300",3.32%,보유,HOLD,"₩	115,200",17,"₩	85,800","₩	2,044,200","₩44,200",2.21%,보유,HOLD,"₩	117,000",17,"₩	85,800","₩	2,074,800","₩74,800",3.74%,보유,HOLD,"₩	118,400",17,"₩	85,800","₩	2,098,600","₩98,600",4.93%,보유,HOLD,"₩	117,500",17,"₩	85,800","₩	2,083,300","₩83,300",4.17%,보유,HOLD,"₩	116,900",17,"₩	85,800","₩	2,073,100","₩73,100",3.66%,보유,HOLD,"₩	115,400",17,"₩	85,800","₩	2,047,600","₩47,600",2.38%,보유,HOLD,"₩	116,000",17,"₩	85,800","₩	2,057,800","₩57,800",2.89%
삼아알미늄,006110,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	25,250",79,"₩	5,250","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	25,250",79,"₩	5,250","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	26,350",79,"₩	5,250","₩	2,086,900","₩86,900",4.35%,보유,HOLD,"₩	25,900",79,"₩	5,250","₩	2,051,350","₩51,350",2.57%,보유,HOLD,"₩	27,250",79,"₩	5,250","₩	2,158,000","₩158,000",7.90%,보유,HOLD,"₩	26,500",79,"₩	5,250","₩	2,098,750","₩98,750",4.94%,보유,HOLD,"₩	26,000",79,"₩	5,250","₩	2,059,250","₩59,250",2.96%,보유,HOLD,"₩	26,200",79,"₩	5,250","₩	2,075,050","₩75,050",3.75%,보유,HOLD,"₩	24,850",79,"₩	5,250","₩	1,968,400","₩31,600",1.58%,보유,HOLD,"₩	24,050",79,"₩	5,250","₩	1,905,200","₩94,800",4.74%
대신증권,003540,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	28,600",69,"₩	26,600","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	28,000",69,"₩	26,600","₩	1,958,600","₩41,400",2.07%,보유,HOLD,"₩	28,200",69,"₩	26,600","₩	1,972,400","₩27,600",1.38%,보유,HOLD,"₩	28,250",69,"₩	26,600","₩	1,975,850","₩24,150",1.21%,보유,HOLD,"₩	28,950",69,"₩	26,600","₩	2,024,150","₩24,150",1.21%,보유,HOLD,"₩	28,800",69,"₩	26,600","₩	2,013,800","₩13,800",0.69%,보유,HOLD,"₩	28,450",69,"₩	26,600","₩	1,989,650","₩10,350",0.52%,보유,HOLD,"₩	28,750",69,"₩	26,600","₩	2,010,350","₩10,350",0.52%,보유,HOLD,"₩	28,850",69,"₩	26,600","₩	2,017,250","₩17,250",0.86%,보유,HOLD,"₩	29,100",69,"₩	26,600","₩	2,034,500","₩34,500",1.73%
휴스틸,005010,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	4,125",484,"₩	3,500","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	4,100",484,"₩	3,500","₩	1,987,900","₩12,100",0.61%,보유,HOLD,"₩	4,290",484,"₩	3,500","₩	2,079,860","₩79,860",3.99%,보유,HOLD,"₩	4,495",484,"₩	3,500","₩	2,179,080","₩179,080",8.95%,보유,HOLD,"₩	4,465",484,"₩	3,500","₩	2,164,560","₩164,560",8.23%,손절,SELL,"₩	4,365",484,"₩	3,500","₩	2,116,160","₩116,160",5.81%,-,-,"₩	4,350",0,"₩	2,116,160","₩	2,116,160","₩116,160",5.81%,-,-,"₩	4,305",0,"₩	2,116,160","₩	2,116,160","₩116,160",5.81%,-,-,"₩	4,155",0,"₩	2,116,160","₩	2,116,160","₩116,160",5.81%,-,-,"₩	4,100",0,"₩	2,116,160","₩	2,116,160","₩116,160",5.81%
HS효성,487570,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	60,300",33,"₩	10,100","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	61,300",33,"₩	10,100","₩	2,033,000","₩33,000",1.65%,보유,HOLD,"₩	60,300",33,"₩	10,100","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	61,200",33,"₩	10,100","₩	2,029,700","₩29,700",1.49%,보유,HOLD,"₩	62,500",33,"₩	10,100","₩	2,072,600","₩72,600",3.63%,보유,HOLD,"₩	60,800",33,"₩	10,100","₩	2,016,500","₩16,500",0.83%,보유,HOLD,"₩	60,400",33,"₩	10,100","₩	2,003,300","₩3,300",0.17%,보유,HOLD,"₩	59,200",33,"₩	10,100","₩	1,963,700","₩36,300",1.82%,데드크로스,SELL,"₩	58,200",33,"₩	10,100","₩	1,930,700","₩69,300",3.47%
동아지질,028100,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	15,450",129,"₩	6,950","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	15,430",129,"₩	6,950","₩	1,997,420","₩2,580",0.13%,보유,HOLD,"₩	15,460",129,"₩	6,950","₩	2,001,290","₩1,290",0.06%,보유,HOLD,"₩	15,510",129,"₩	6,950","₩	2,007,740","₩7,740",0.39%,보유,HOLD,"₩	15,490",129,"₩	6,950","₩	2,005,160","₩5,160",0.26%,손절,SELL,"₩	15,200",129,"₩	6,950","₩	1,967,750","₩32,250",1.61%,-,-,"₩	15,080",0,"₩	1,967,750","₩	1,967,750","₩32,250",1.61%,-,-,"₩	14,700",0,"₩	1,967,750","₩	1,967,750","₩32,250",1.61%,-,-,"₩	14,400",0,"₩	1,967,750","₩	1,967,750","₩32,250",1.61%
KSS해운,044450,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	9,380",213,"₩	2,060","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	9,520",213,"₩	2,060","₩	2,029,820","₩29,820",1.49%,보유,HOLD,"₩	9,470",213,"₩	2,060","₩	2,019,170","₩19,170",0.96%,보유,HOLD,"₩	9,400",213,"₩	2,060","₩	2,004,260","₩4,260",0.21%,보유,HOLD,"₩	9,350",213,"₩	2,060","₩	1,993,610","₩6,390",0.32%,보유,HOLD,"₩	9,300",213,"₩	2,060","₩	1,982,960","₩17,040",0.85%,데드크로스,SELL,"₩	9,320",213,"₩	2,060","₩	1,987,220","₩12,780",0.64%,-,-,"₩	9,320",0,"₩	1,987,220","₩	1,987,220","₩12,780",0.64%,-,-,"₩	9,240",0,"₩	1,987,220","₩	1,987,220","₩12,780",0.64%
신세계I&C,035510,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	15,660",127,"₩	11,180","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	15,370",127,"₩	11,180","₩	1,963,170","₩36,830",1.84%,보유,HOLD,"₩	15,070",127,"₩	11,180","₩	1,925,070","₩74,930",3.75%,보유,HOLD,"₩	15,160",127,"₩	11,180","₩	1,936,500","₩63,500",3.18%,보유,HOLD,"₩	15,760",127,"₩	11,180","₩	2,012,700","₩12,700",0.64%,보유,HOLD,"₩	15,360",127,"₩	11,180","₩	1,961,900","₩38,100",1.91%,보유,HOLD,"₩	15,590",127,"₩	11,180","₩	1,991,110","₩8,890",0.44%,보유,HOLD,"₩	15,260",127,"₩	11,180","₩	1,949,200","₩50,800",2.54%,보유,HOLD,"₩	15,040",127,"₩	11,180","₩	1,921,260","₩78,740",3.94%
새론오토모티브,075180,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	3,230",619,₩	630,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,210",619,₩	630,"₩	1,987,620","₩12,380",0.62%,보유,HOLD,"₩	3,210",619,₩	630,"₩	1,987,620","₩12,380",0.62%,보유,HOLD,"₩	3,225",619,₩	630,"₩	1,996,905","₩3,095",0.15%,보유,HOLD,"₩	3,240",619,₩	630,"₩	2,006,190","₩6,190",0.31%,보유,HOLD,"₩	3,205",619,₩	630,"₩	1,984,525","₩15,475",0.77%,보유,HOLD,"₩	3,205",619,₩	630,"₩	1,984,525","₩15,475",0.77%,보유,HOLD,"₩	3,165",619,₩	630,"₩	1,959,765","₩40,235",2.01%,보유,HOLD,"₩	3,130",619,₩	630,"₩	1,938,100","₩61,900",3.09%
HD현대인프라코어,042670,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	15,830",126,"₩	5,420","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	16,080",126,"₩	5,420","₩	2,031,500","₩31,500",1.58%,보유,HOLD,"₩	16,990",126,"₩	5,420","₩	2,146,160","₩146,160",7.31%,보유,HOLD,"₩	16,930",126,"₩	5,420","₩	2,138,600","₩138,600",6.93%,보유,HOLD,"₩	17,210",126,"₩	5,420","₩	2,173,880","₩173,880",8.69%,보유,HOLD,"₩	16,680",126,"₩	5,420","₩	2,107,100","₩107,100",5.36%,보유,HOLD,"₩	17,390",126,"₩	5,420","₩	2,196,560","₩196,560",9.83%,보유,HOLD,"₩	15,750",126,"₩	5,420","₩	1,989,920","₩10,080",0.50%,보유,HOLD,"₩	15,240",126,"₩	5,420","₩	1,925,660","₩74,340",3.72%
